ensembl_gene_id,symbol,type,entrez_id
ENSG00000204574,ABCF1,lncRNA,23
ENSG00000033050,ABCF2,mRNA,10061
ENSG00000161204,ABCF3,mRNA,55324
ENSG00000160179,ABCG1,lncRNA,9619
ENSG00000118777,ABCG2,mRNA,9429
ENSG00000172350,ABCG4,lncRNA,64137
ENSG00000138075,ABCG5,lncRNA,64240
ENSG00000143921,ABCG8,mRNA,64241
ENSG00000143994,ABHD1,mRNA,84696
ENSG00000140526,ABHD2,mRNA,11057
ENSG00000158201,ABHD3,mRNA,171586
ENSG00000100439,ABHD4,mRNA,63874
ENSG00000011198,ABHD5,mRNA,51099
ENSG00000163686,ABHD6,mRNA,57406
ENSG00000127220,ABHD8,lncRNA,79575
ENSG00000144827,ABHD10,lncRNA,55347
ENSG00000106077,ABHD11,mRNA,83451
ENSG00000100997,ABHD12,mRNA,26090
ENSG00000131969,ABHD12B,mRNA,145447
ENSG00000139826,ABHD13,lncRNA,84945
ENSG00000248487,ABHD14A,mRNA,25864
ENSG00000114779,ABHD14B,lncRNA,84836
ENSG00000168792,ABHD15,lncRNA,116236
ENSG00000204427,ABHD16A,lncRNA,7920
ENSG00000183260,ABHD16B,mRNA,140701
ENSG00000129968,ABHD17A,mRNA,81926
ENSG00000107362,ABHD17B,mRNA,51104
ENSG00000136379,ABHD17C,lncRNA,58489
ENSG00000164074,ABHD18,mRNA,80167
ENSG00000136754,ABI1,mRNA,10006
ENSG00000138443,ABI2,mRNA,10152
ENSG00000108798,ABI3,mRNA,51225
ENSG00000154175,ABI3BP,lncRNA,25890
ENSG00000119328,ABITRAM,lncRNA,54942
ENSG00000097007,ABL1,mRNA,25
ENSG00000143322,ABL2,lncRNA,27
ENSG00000099204,ABLIM1,lncRNA,3983
ENSG00000163995,ABLIM2,mRNA,84448
ENSG00000173210,ABLIM3,lncRNA,22885
ENSG00000175164,ABO,mRNA,28
ENSG00000159842,ABR,mRNA,29
ENSG00000174429,ABRA,lncRNA,137735
ENSG00000146386,ABRACL,mRNA,58527
ENSG00000163322,ABRAXAS1,mRNA,84142
ENSG00000165660,ABRAXAS2,mRNA,23172
ENSG00000146109,ABT1,lncRNA,29777
ENSG00000114626,ABTB1,lncRNA,80325
ENSG00000166016,ABTB2,lncRNA,25841
ENSG00000151136,ABTB3,mRNA,121551
ENSG00000060971,ACAA1,lncRNA,30
ENSG00000167315,ACAA2,mRNA,10449
ENSG00000278540,ACACA,mRNA,31
ENSG00000076555,ACACB,lncRNA,32
ENSG00000151498,ACAD8,lncRNA,27034
ENSG00000177646,ACAD9,mRNA,28976
ENSG00000111271,ACAD10,lncRNA,80724
ENSG00000240303,ACAD11,lncRNA,84129
ENSG00000115361,ACADL,lncRNA,33
ENSG00000117054,ACADM,lncRNA,34
ENSG00000122971,ACADS,lncRNA,35
ENSG00000196177,ACADSB,lncRNA,36
ENSG00000072778,ACADVL,lncRNA,37
ENSG00000157766,ACAN,mRNA,176
ENSG00000072818,ACAP1,mRNA,9744
ENSG00000114331,ACAP2,mRNA,23527
ENSG00000131584,ACAP3,lncRNA,116983
ENSG00000075239,ACAT1,mRNA,38
ENSG00000120437,ACAT2,lncRNA,39
ENSG00000182827,ACBD3,lncRNA,64746
ENSG00000181513,ACBD4,lncRNA,79777
ENSG00000107897,ACBD5,lncRNA,91452
ENSG00000230124,ACBD6,lncRNA,84320
ENSG00000176244,ACBD7,lncRNA,414149
ENSG00000110455,ACCS,mRNA,84680
ENSG00000205126,ACCSL,lncRNA,390110
ENSG00000102977,ACD,lncRNA,65057
ENSG00000159640,ACE,lncRNA,1636
ENSG00000130234,ACE2,lncRNA,59272
ENSG00000167769,ACER1,mRNA,125981
ENSG00000177076,ACER2,mRNA,340485
ENSG00000078124,ACER3,lncRNA,55331
ENSG00000087085,ACHE,mRNA,43
ENSG00000100813,ACIN1,lncRNA,22985
ENSG00000213088,ACKR1,mRNA,2532
ENSG00000144648,ACKR2,lncRNA,1238
ENSG00000144476,ACKR3,mRNA,57007
ENSG00000129048,ACKR4,mRNA,51554
ENSG00000131473,ACLY,mRNA,47
ENSG00000153086,ACMSD,mRNA,130013
ENSG00000122729,ACO1,mRNA,48
ENSG00000100412,ACO2,lncRNA,50
ENSG00000102794,ACOD1,mRNA,730249
ENSG00000184227,ACOT1,mRNA,641371
ENSG00000119673,ACOT2,mRNA,10965
ENSG00000177465,ACOT4,lncRNA,122970
ENSG00000205669,ACOT6,mRNA,641372
ENSG00000097021,ACOT7,mRNA,11332
ENSG00000101473,ACOT8,mRNA,10005
ENSG00000123130,ACOT9,lncRNA,23597
ENSG00000162390,ACOT11,lncRNA,26027
ENSG00000172497,ACOT12,mRNA,134526
ENSG00000112304,ACOT13,mRNA,55856
ENSG00000161533,ACOX1,mRNA,51
ENSG00000168306,ACOX2,lncRNA,8309
ENSG00000087008,ACOX3,lncRNA,8310
ENSG00000153093,ACOXL,mRNA,55289
ENSG00000143727,ACP1,lncRNA,52
ENSG00000134575,ACP2,mRNA,53
ENSG00000014257,ACP3,lncRNA,55
ENSG00000142513,ACP4,mRNA,93650
ENSG00000102575,ACP5,mRNA,54
ENSG00000162836,ACP6,mRNA,51205
ENSG00000183760,ACP7,lncRNA,390928
ENSG00000100312,ACR,mRNA,49
ENSG00000111644,ACRBP,mRNA,84519
ENSG00000134940,ACRV1,mRNA,56
ENSG00000103740,ACSBG1,lncRNA,23205
ENSG00000130377,ACSBG2,mRNA,81616
ENSG00000167107,ACSF2,lncRNA,80221
ENSG00000176715,ACSF3,mRNA,197322
ENSG00000151726,ACSL1,lncRNA,2180
ENSG00000123983,ACSL3,lncRNA,2181
ENSG00000068366,ACSL4,lncRNA,2182
ENSG00000197142,ACSL5,lncRNA,51703
ENSG00000164398,ACSL6,lncRNA,23305
ENSG00000166743,ACSM1,mRNA,116285
ENSG00000183747,ACSM2A,mRNA,123876
ENSG00000066813,ACSM2B,mRNA,348158
ENSG00000005187,ACSM3,lncRNA,6296
ENSG00000215009,ACSM4,mRNA,341392
ENSG00000183549,ACSM5,lncRNA,54988
ENSG00000173124,ACSM6,mRNA,142827
ENSG00000154930,ACSS1,lncRNA,84532
ENSG00000131069,ACSS2,lncRNA,55902
ENSG00000111058,ACSS3,mRNA,79611
ENSG00000143632,ACTA1,mRNA,58
ENSG00000107796,ACTA2,lncRNA,59
ENSG00000075624,ACTB,mRNA,60
ENSG00000169067,ACTBL2,mRNA,345651
ENSG00000159251,ACTC1,lncRNA,70
ENSG00000184009,ACTG1,lncRNA,71
ENSG00000163017,ACTG2,mRNA,72
ENSG00000136518,ACTL6A,lncRNA,86
ENSG00000077080,ACTL6B,mRNA,51412
ENSG00000187003,ACTL7A,mRNA,10881
ENSG00000148156,ACTL7B,lncRNA,10880
ENSG00000117148,ACTL8,lncRNA,81569
ENSG00000181786,ACTL9,lncRNA,284382
ENSG00000288649,ACTL10,lncRNA,170487
ENSG00000072110,ACTN1,mRNA,87
ENSG00000077522,ACTN2,mRNA,88
ENSG00000248746,ACTN3,mRNA,89
ENSG00000130402,ACTN4,lncRNA,81
ENSG00000138107,ACTR1A,mRNA,10121
ENSG00000115073,ACTR1B,lncRNA,10120
ENSG00000138071,ACTR2,lncRNA,10097
ENSG00000115091,ACTR3,lncRNA,10096
ENSG00000133627,ACTR3B,lncRNA,57180
ENSG00000106526,ACTR3C,lncRNA,653857
ENSG00000101442,ACTR5,mRNA,79913
ENSG00000075089,ACTR6,mRNA,64431
ENSG00000113812,ACTR8,lncRNA,93973
ENSG00000131966,ACTR10,lncRNA,55860
ENSG00000123165,ACTRT1,lncRNA,139741
ENSG00000169717,ACTRT2,mRNA,140625
ENSG00000184378,ACTRT3,mRNA,84517
ENSG00000115170,ACVR1,mRNA,90
ENSG00000135503,ACVR1B,lncRNA,91
ENSG00000123612,ACVR1C,lncRNA,130399
ENSG00000121989,ACVR2A,mRNA,92
ENSG00000114739,ACVR2B,mRNA,93
ENSG00000139567,ACVRL1,mRNA,94
ENSG00000243989,ACY1,lncRNA,95
ENSG00000132744,ACY3,mRNA,91703
ENSG00000119640,ACYP1,mRNA,97
ENSG00000170634,ACYP2,mRNA,98
ENSG00000196839,ADA,lncRNA,100
ENSG00000093072,ADA2,mRNA,51816
ENSG00000164113,ADAD1,lncRNA,132612
ENSG00000140955,ADAD2,lncRNA,161931
ENSG00000168803,ADAL,lncRNA,161823
ENSG00000104755,ADAM2,lncRNA,2515
ENSG00000069206,ADAM7,mRNA,8756
ENSG00000151651,ADAM8,lncRNA,101
ENSG00000168615,ADAM9,lncRNA,8754
ENSG00000137845,ADAM10,lncRNA,102
ENSG00000073670,ADAM11,mRNA,4185
ENSG00000148848,ADAM12,lncRNA,8038
ENSG00000143537,ADAM15,lncRNA,8751
ENSG00000151694,ADAM17,mRNA,6868
ENSG00000168619,ADAM18,lncRNA,8749
ENSG00000135074,ADAM19,mRNA,8728
ENSG00000134007,ADAM20,lncRNA,8748
ENSG00000139985,ADAM21,lncRNA,8747
ENSG00000008277,ADAM22,mRNA,53616
ENSG00000114948,ADAM23,lncRNA,8745
ENSG00000042980,ADAM28,mRNA,10863
ENSG00000168594,ADAM29,mRNA,11086
ENSG00000134249,ADAM30,lncRNA,11085
ENSG00000197140,ADAM32,mRNA,203102
ENSG00000149451,ADAM33,mRNA,80332
ENSG00000134028,ADAMDEC1,mRNA,27299
ENSG00000154734,ADAMTS1,mRNA,9510
ENSG00000087116,ADAMTS2,lncRNA,9509
ENSG00000156140,ADAMTS3,lncRNA,9508
ENSG00000158859,ADAMTS4,lncRNA,9507
ENSG00000154736,ADAMTS5,mRNA,11096
ENSG00000049192,ADAMTS6,mRNA,11174
ENSG00000136378,ADAMTS7,mRNA,11173
ENSG00000134917,ADAMTS8,mRNA,11095
ENSG00000163638,ADAMTS9,lncRNA,56999
ENSG00000142303,ADAMTS10,lncRNA,81794
ENSG00000151388,ADAMTS12,lncRNA,81792
ENSG00000160323,ADAMTS13,mRNA,11093
ENSG00000138316,ADAMTS14,mRNA,140766
ENSG00000166106,ADAMTS15,lncRNA,170689
ENSG00000145536,ADAMTS16,mRNA,170690
ENSG00000140470,ADAMTS17,lncRNA,170691
ENSG00000140873,ADAMTS18,mRNA,170692
ENSG00000145808,ADAMTS19,mRNA,171019
ENSG00000173157,ADAMTS20,mRNA,80070
ENSG00000178031,ADAMTSL1,lncRNA,92949
ENSG00000197859,ADAMTSL2,lncRNA,9719
ENSG00000156218,ADAMTSL3,mRNA,57188
ENSG00000143382,ADAMTSL4,mRNA,54507
ENSG00000185761,ADAMTSL5,mRNA,339366
ENSG00000105963,ADAP1,mRNA,11033
ENSG00000184060,ADAP2,lncRNA,55803
ENSG00000160710,ADAR,mRNA,103
ENSG00000197381,ADARB1,lncRNA,104
ENSG00000185736,ADARB2,mRNA,105
ENSG00000065457,ADAT1,mRNA,23536
ENSG00000189007,ADAT2,mRNA,134637
ENSG00000213638,ADAT3,mRNA,113179
ENSG00000063761,ADCK1,lncRNA,57143
ENSG00000133597,ADCK2,mRNA,90956
ENSG00000173137,ADCK5,mRNA,203054
ENSG00000164742,ADCY1,lncRNA,107
ENSG00000078295,ADCY2,lncRNA,108
ENSG00000138031,ADCY3,lncRNA,109
ENSG00000129467,ADCY4,lncRNA,196883
ENSG00000173175,ADCY5,mRNA,111
ENSG00000174233,ADCY6,mRNA,112
ENSG00000121281,ADCY7,lncRNA,113
ENSG00000155897,ADCY8,lncRNA,114
ENSG00000162104,ADCY9,lncRNA,115
ENSG00000143199,ADCY10,lncRNA,55811
ENSG00000141433,ADCYAP1,mRNA,116
ENSG00000078549,ADCYAP1R1,mRNA,117
ENSG00000087274,ADD1,lncRNA,118
ENSG00000075340,ADD2,mRNA,119
ENSG00000148700,ADD3,lncRNA,120
ENSG00000118492,ADGB,lncRNA,79747
ENSG00000197177,ADGRA1,lncRNA,84435
ENSG00000020181,ADGRA2,lncRNA,25960
ENSG00000152990,ADGRA3,mRNA,166647
ENSG00000181790,ADGRB1,mRNA,575
ENSG00000121753,ADGRB2,lncRNA,576
ENSG00000135298,ADGRB3,lncRNA,577
ENSG00000111452,ADGRD1,lncRNA,283383
ENSG00000180264,ADGRD2,mRNA,347088
ENSG00000174837,ADGRE1,lncRNA,2015
ENSG00000127507,ADGRE2,mRNA,30817
ENSG00000131355,ADGRE3,mRNA,84658
ENSG00000123146,ADGRE5,mRNA,976
ENSG00000153292,ADGRF1,lncRNA,266977
ENSG00000173567,ADGRF3,lncRNA,165082
ENSG00000153294,ADGRF4,lncRNA,221393
ENSG00000069122,ADGRF5,lncRNA,221395
ENSG00000205336,ADGRG1,lncRNA,9289
ENSG00000173698,ADGRG2,lncRNA,10149
ENSG00000182885,ADGRG3,lncRNA,222487
ENSG00000156920,ADGRG4,lncRNA,139378
ENSG00000159618,ADGRG5,lncRNA,221188
ENSG00000112414,ADGRG6,lncRNA,57211
ENSG00000144820,ADGRG7,mRNA,84873
ENSG00000072071,ADGRL1,mRNA,22859
ENSG00000117114,ADGRL2,mRNA,23266
ENSG00000150471,ADGRL3,lncRNA,23284
ENSG00000162618,ADGRL4,lncRNA,64123
ENSG00000164199,ADGRV1,lncRNA,84059
ENSG00000187758,ADH1A,lncRNA,124
ENSG00000196616,ADH1B,lncRNA,125
ENSG00000248144,ADH1C,mRNA,126
ENSG00000198099,ADH4,lncRNA,127
ENSG00000197894,ADH5,lncRNA,128
ENSG00000172955,ADH6,mRNA,130
ENSG00000196344,ADH7,lncRNA,131
ENSG00000147576,ADHFE1,mRNA,137872
ENSG00000182551,ADI1,lncRNA,55256
ENSG00000182035,ADIG,mRNA,149685
ENSG00000181092,ADIPOQ,mRNA,9370
ENSG00000159346,ADIPOR1,mRNA,51094
ENSG00000006831,ADIPOR2,mRNA,79602
ENSG00000148671,ADIRF,mRNA,10974
ENSG00000156110,ADK,mRNA,132
ENSG00000148926,ADM,lncRNA,133
ENSG00000128165,ADM2,lncRNA,79924
ENSG00000224420,ADM5,mRNA,199800
ENSG00000101126,ADNP,lncRNA,23394
ENSG00000101544,ADNP2,lncRNA,22850
ENSG00000181915,ADO,mRNA,84890
ENSG00000163485,ADORA1,mRNA,134
ENSG00000128271,ADORA2A,lncRNA,135
ENSG00000170425,ADORA2B,lncRNA,136
ENSG00000282608,ADORA3,lncRNA,140
ENSG00000159322,ADPGK,mRNA,83440
ENSG00000144843,ADPRH,lncRNA,141
ENSG00000153531,ADPRHL1,mRNA,113622
ENSG00000170222,ADPRM,lncRNA,56985
ENSG00000116863,ADPRS,mRNA,54936
ENSG00000120907,ADRA1A,mRNA,148
ENSG00000170214,ADRA1B,lncRNA,147
ENSG00000171873,ADRA1D,lncRNA,146
ENSG00000150594,ADRA2A,lncRNA,150
ENSG00000274286,ADRA2B,lncRNA,151
ENSG00000184160,ADRA2C,mRNA,152
ENSG00000043591,ADRB1,lncRNA,153
ENSG00000169252,ADRB2,lncRNA,154
ENSG00000188778,ADRB3,mRNA,155
ENSG00000130706,ADRM1,lncRNA,11047
ENSG00000239900,ADSL,mRNA,158
ENSG00000185100,ADSS1,mRNA,122622
ENSG00000035687,ADSS2,lncRNA,159
ENSG00000111863,ADTRP,lncRNA,84830
ENSG00000106624,AEBP1,mRNA,165
ENSG00000139154,AEBP2,lncRNA,121536
ENSG00000181026,AEN,mRNA,64782
ENSG00000196526,AFAP1,mRNA,60312
ENSG00000157510,AFAP1L1,mRNA,134265
ENSG00000169129,AFAP1L2,lncRNA,84632
ENSG00000130396,AFDN,lncRNA,4301
ENSG00000172493,AFF1,mRNA,4299
ENSG00000155966,AFF2,lncRNA,2334
ENSG00000144218,AFF3,mRNA,3899
ENSG00000072364,AFF4,lncRNA,27125
ENSG00000135537,AFG1L,lncRNA,246269
ENSG00000141385,AFG3L2,mRNA,10939
ENSG00000079557,AFM,mRNA,173
ENSG00000183077,AFMID,mRNA,125061
ENSG00000081051,AFP,lncRNA,174
ENSG00000119844,AFTPH,lncRNA,54812
ENSG00000038002,AGA,lncRNA,175
ENSG00000157985,AGAP1,mRNA,116987
ENSG00000135439,AGAP2,lncRNA,116986
ENSG00000133612,AGAP3,lncRNA,116988
ENSG00000188234,AGAP4,mRNA,119016
ENSG00000172650,AGAP5,lncRNA,729092
ENSG00000204149,AGAP6,mRNA,414189
ENSG00000204172,AGAP9,mRNA,642517
ENSG00000273540,AGBL1,mRNA,123624
ENSG00000165923,AGBL2,lncRNA,79841
ENSG00000146856,AGBL3,mRNA,340351
ENSG00000186094,AGBL4,mRNA,84871
ENSG00000084693,AGBL5,mRNA,60509
ENSG00000204305,AGER,mRNA,177
ENSG00000173744,AGFG1,mRNA,3267
ENSG00000106351,AGFG2,mRNA,3268
ENSG00000164252,AGGF1,mRNA,55109
ENSG00000006530,AGK,lncRNA,55750
ENSG00000162688,AGL,mRNA,178
ENSG00000116771,AGMAT,mRNA,79814
ENSG00000187546,AGMO,lncRNA,392636
ENSG00000092847,AGO1,lncRNA,26523
ENSG00000123908,AGO2,mRNA,27161
ENSG00000126070,AGO3,mRNA,192669
ENSG00000134698,AGO4,lncRNA,192670
ENSG00000204310,AGPAT1,mRNA,10554
ENSG00000169692,AGPAT2,lncRNA,10555
ENSG00000160216,AGPAT3,lncRNA,56894
ENSG00000026652,AGPAT4,lncRNA,56895
ENSG00000155189,AGPAT5,mRNA,55326
ENSG00000018510,AGPS,mRNA,8540
ENSG00000106541,AGR2,mRNA,10551
ENSG00000173467,AGR3,mRNA,155465
ENSG00000188157,AGRN,lncRNA,375790
ENSG00000159723,AGRP,mRNA,181
ENSG00000135744,AGT,lncRNA,183
ENSG00000135049,AGTPBP1,mRNA,23287
ENSG00000144891,AGTR1,lncRNA,185
ENSG00000180772,AGTR2,lncRNA,186
ENSG00000177674,AGTRAP,mRNA,57085
ENSG00000172482,AGXT,mRNA,189
ENSG00000113492,AGXT2,lncRNA,64902
ENSG00000153207,AHCTF1,mRNA,25909
ENSG00000101444,AHCY,mRNA,191
ENSG00000168710,AHCYL1,lncRNA,10768
ENSG00000158467,AHCYL2,lncRNA,23382
ENSG00000126705,AHDC1,mRNA,27245
ENSG00000135541,AHI1,lncRNA,54806
ENSG00000124942,AHNAK,mRNA,79026
ENSG00000185567,AHNAK2,lncRNA,113146
ENSG00000106546,AHR,mRNA,196
ENSG00000063438,AHRR,mRNA,57491
ENSG00000100591,AHSA1,mRNA,10598
ENSG00000145192,AHSG,mRNA,197
ENSG00000169877,AHSP,lncRNA,51327
ENSG00000111732,AICDA,lncRNA,57379
ENSG00000186063,AIDA,mRNA,64853
ENSG00000204472,AIF1,lncRNA,199
ENSG00000126878,AIF1L,lncRNA,83543
ENSG00000156709,AIFM1,lncRNA,9131
ENSG00000042286,AIFM2,mRNA,84883
ENSG00000183773,AIFM3,lncRNA,150209
ENSG00000146416,AIG1,lncRNA,51390
ENSG00000163568,AIM2,lncRNA,9447
ENSG00000164022,AIMP1,mRNA,9255
ENSG00000106305,AIMP2,lncRNA,7965
ENSG00000110711,AIP,mRNA,9049
ENSG00000129221,AIPL1,mRNA,23746
ENSG00000160224,AIRE,mRNA,326
ENSG00000196581,AJAP1,lncRNA,55966
ENSG00000232434,AJM1,mRNA,389813
ENSG00000129474,AJUBA,mRNA,84962
ENSG00000106992,AK1,lncRNA,203
ENSG00000004455,AK2,mRNA,204
ENSG00000147853,AK3,mRNA,50808
ENSG00000162433,AK4,mRNA,205
ENSG00000154027,AK5,lncRNA,26289
ENSG00000085231,AK6,lncRNA,102157402
ENSG00000140057,AK7,mRNA,122481
ENSG00000165695,AK8,mRNA,158067
ENSG00000155085,AK9,lncRNA,221264
ENSG00000231824,AKAIN1,mRNA,642597
ENSG00000121057,AKAP1,mRNA,8165
ENSG00000111254,AKAP3,lncRNA,10566
ENSG00000147081,AKAP4,lncRNA,8852
ENSG00000179841,AKAP5,lncRNA,9495
ENSG00000151320,AKAP6,mRNA,9472
ENSG00000118507,AKAP7,mRNA,9465
ENSG00000105127,AKAP8,mRNA,10270
ENSG00000011243,AKAP8L,mRNA,26993
ENSG00000127914,AKAP9,mRNA,10142
ENSG00000108599,AKAP10,mRNA,11216
ENSG00000023516,AKAP11,mRNA,11215
ENSG00000131016,AKAP12,mRNA,9590
ENSG00000170776,AKAP13,lncRNA,11214
ENSG00000186471,AKAP14,mRNA,158798
ENSG00000197976,AKAP17A,mRNA,8227
ENSG00000166452,AKIP1,lncRNA,56672
ENSG00000174574,AKIRIN1,lncRNA,79647
ENSG00000135334,AKIRIN2,lncRNA,55122
ENSG00000106948,AKNA,mRNA,80709
ENSG00000162641,AKNAD1,lncRNA,254268
ENSG00000117448,AKR1A1,lncRNA,10327
ENSG00000085662,AKR1B1,lncRNA,231
ENSG00000198074,AKR1B10,mRNA,57016
ENSG00000227471,AKR1B15,lncRNA,441282
ENSG00000187134,AKR1C1,lncRNA,1645
ENSG00000151632,AKR1C2,lncRNA,1646
ENSG00000196139,AKR1C3,mRNA,8644
ENSG00000198610,AKR1C4,lncRNA,1109
ENSG00000264006,AKR1C8,lncRNA,340811
ENSG00000122787,AKR1D1,lncRNA,6718
ENSG00000165568,AKR1E2,lncRNA,83592
ENSG00000053371,AKR7A2,mRNA,8574
ENSG00000162482,AKR7A3,lncRNA,22977
ENSG00000211454,AKR7L,lncRNA,246181
ENSG00000142208,AKT1,lncRNA,207
ENSG00000204673,AKT1S1,lncRNA,84335
ENSG00000105221,AKT2,mRNA,208
ENSG00000117020,AKT3,lncRNA,10000
ENSG00000166971,AKTIP,lncRNA,64400
ENSG00000148218,ALAD,lncRNA,210
ENSG00000023330,ALAS1,lncRNA,211
ENSG00000158578,ALAS2,mRNA,212
ENSG00000163631,ALB,lncRNA,213
ENSG00000170017,ALCAM,lncRNA,214
ENSG00000165092,ALDH1A1,mRNA,216
ENSG00000128918,ALDH1A2,mRNA,8854
ENSG00000184254,ALDH1A3,mRNA,220
ENSG00000137124,ALDH1B1,lncRNA,219
ENSG00000144908,ALDH1L1,mRNA,10840
ENSG00000136010,ALDH1L2,lncRNA,160428
ENSG00000111275,ALDH2,lncRNA,217
ENSG00000108602,ALDH3A1,mRNA,218
ENSG00000072210,ALDH3A2,lncRNA,224
ENSG00000006534,ALDH3B1,lncRNA,221
ENSG00000132746,ALDH3B2,mRNA,222
ENSG00000159423,ALDH4A1,lncRNA,8659
ENSG00000112294,ALDH5A1,lncRNA,7915
ENSG00000119711,ALDH6A1,lncRNA,4329
ENSG00000164904,ALDH7A1,mRNA,501
ENSG00000118514,ALDH8A1,lncRNA,64577
ENSG00000143149,ALDH9A1,mRNA,223
ENSG00000161618,ALDH16A1,lncRNA,126133
ENSG00000059573,ALDH18A1,lncRNA,5832
ENSG00000149925,ALDOA,mRNA,226
ENSG00000136872,ALDOB,mRNA,229
ENSG00000109107,ALDOC,mRNA,230
ENSG00000033011,ALG1,lncRNA,56052
ENSG00000251287,ALG1L2,lncRNA,644974
ENSG00000119523,ALG2,lncRNA,85365
ENSG00000214160,ALG3,mRNA,10195
ENSG00000120697,ALG5,mRNA,29880
ENSG00000088035,ALG6,lncRNA,29929
ENSG00000159063,ALG8,mRNA,79053
ENSG00000086848,ALG9,lncRNA,79796
ENSG00000139133,ALG10,mRNA,84920
ENSG00000175548,ALG10B,mRNA,144245
ENSG00000253710,ALG11,lncRNA,440138
ENSG00000182858,ALG12,mRNA,79087
ENSG00000101901,ALG13,lncRNA,79868
ENSG00000172339,ALG14,lncRNA,199857
ENSG00000171094,ALK,mRNA,238
ENSG00000196711,ALKAL1,lncRNA,389658
ENSG00000189292,ALKAL2,mRNA,285016
ENSG00000100601,ALKBH1,lncRNA,8846
ENSG00000189046,ALKBH2,mRNA,121642
ENSG00000166199,ALKBH3,lncRNA,221120
ENSG00000160993,ALKBH4,mRNA,54784
ENSG00000091542,ALKBH5,lncRNA,54890
ENSG00000239382,ALKBH6,mRNA,84964
ENSG00000125652,ALKBH7,lncRNA,84266
ENSG00000137760,ALKBH8,lncRNA,91801
ENSG00000151360,ALLC,lncRNA,55821
ENSG00000116127,ALMS1,mRNA,7840
ENSG00000012779,ALOX5,lncRNA,240
ENSG00000132965,ALOX5AP,lncRNA,241
ENSG00000108839,ALOX12,lncRNA,239
ENSG00000179477,ALOX12B,lncRNA,242
ENSG00000161905,ALOX15,mRNA,246
ENSG00000179593,ALOX15B,lncRNA,247
ENSG00000179148,ALOXE3,mRNA,59344
ENSG00000163286,ALPG,mRNA,251
ENSG00000163295,ALPI,mRNA,248
ENSG00000073331,ALPK1,mRNA,80216
ENSG00000198796,ALPK2,mRNA,115701
ENSG00000136383,ALPK3,mRNA,57538
ENSG00000162551,ALPL,mRNA,249
ENSG00000163283,ALPP,lncRNA,250
